Datetime,Open,High,Low,Last,Volume,Dividends,Stock splits
6/7/2022 14:30,188.55,188.69,188.32,188.595,207532,0,0
6/7/2022 14:35,188.59,188.65,188.18,188.44,183885,0,0
6/7/2022 14:40,188.4301,188.5,187.35,187.55,335658,0,0
6/7/2022 14:45,187.52,187.78,187.19,187.435,328260,0,0
6/7/2022 14:50,187.435,187.75,187.29,187.5455,207678,0,0
6/7/2022 14:55,187.54,187.75,187.24,187.58,265665,0,0
6/7/2022 15:00,187.58,188.01,187.45,187.89,338656,0,0
6/7/2022 15:05,187.93,188.34,187.8101,188.22,238648,0,0
6/7/2022 15:10,188.24,188.46,187.93,188.2684,259411,0,0
6/7/2022 15:15,188.2756,188.48,188.16,188.315,204892,0,0
6/7/2022 15:20,188.3001,188.53,188.165,188.3003,214687,0,0
6/7/2022 15:25,188.32,188.45,188.1801,188.39,175779,0,0
6/7/2022 15:30,188.38,188.82,188.23,188.801,451495,0,0
6/7/2022 15:35,188.79,189.16,188.63,189.05,504362,0,0
6/7/2022 15:40,189.06,189.1,188.55,188.77,403178,0,0
6/7/2022 15:45,188.75,189.51,188.71,189.33,534425,0,0
6/7/2022 15:50,189.31,190,189.06,189.82,778908,0,0
6/7/2022 15:55,189.82,189.82,189.2,189.26,2253868,0.04,0
6/8/2022 9:30,187.99,188.04,186.51,187.4434,883142,0,0
6/8/2022 9:35,187.49,190.01,187.46,189.735,935442,0,0
